Jamon cocido y queso;Zanahoria rallada lechiga cubos de queso y jamon cocido tomate cherry y choclo;4;3000
Jamon crudo;Rucula lechuga tomate cherry queso en hebras y jamon crudo;4;3000
Palta;Lechuga zanahoria tomate cherry choclo verdeo palta y sesamo negro;4;3000
Palta y pollo;Lechuga rucula tomate cherry pollo grillado verdeo palta y sesamo negro;4;3000
Pollo;Lechuga, rucula, tomate cherry, pollo grillado, crountons de pan integral y cebolla morada;4;3000
Verduras hervidas;Anco, zanahoria, papa, chaucha, arvejas y choclo;4;3000
Arroz y lentejas;Lechuga, lentejas, aroz integral, tomate, zanahoria rallada y cebolla morada;4;3000
Campestre;Zanahoria rallada, remolacha y chaucha hervida, arroz integral, tomate y cebolla morada;4;3000
